task_id,policy_id,run_id,annotator_id,quality_score,correctness_score,completeness_score,risk_score,hallucination_flag,human_time_base_min,human_time_ai_min,review_effort_min,notes
ps-001,pl_deepseek_flash,smoke_test,assistant_demo_v1,8,8,8,5,0,25,8,12,AI辅助试填占位；结构清晰、有材料清单与官方渠道提示；论文定稿前须真人重标或删除本行。
ps-001,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,8,8,5,0,25,8,10,同上；与 smoke_test 为同一题不同 run，用于检查合并键。
ps-005,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,8,9,5,0,30,10,14,医疗救助认定与一站式说明较完整，含地方差异提示。
ps-001,pl_deepseek_flash,test_each,assistant_demo_v1,8,8,8,5,0,25,8,11,DeepSeek 版异地就医要点，口径与 smoke 类似。
ps-001,pl_spark_ultra,test_each,assistant_demo_v1,9,8,9,5,0,25,7,12,分类型材料更细；仍须以参保地最新规定为准，未见明显编造。
es-002,pl_deepseek_flash,ds_batch,assistant_demo_v1,8,8,8,4,0,35,10,15,高企研发费用与知识产权匹配，含免责提示，偏解释性。
ps-053,pl_deepseek_flash,ds_batch,assistant_demo_v1,7,7,7,5,0,20,8,10,占位评分：未逐条核对 JSON 全文；请真人打开对应 response 后修订。
cmmlu-025,pl_deepseek_flash,ds_batch,assistant_demo_v1,7,7,6,3,0,5,2,4,选择题短答；未核对标准答案选项，correctness 保守给分。
ps-001,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 1472字符
ps-002,pl_deepseek_flash,batch_20260503,assistant_demo_v1,9,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 726字符
ps-002,pl_deepseek_pro,batch_20260503,assistant_demo_v1,4,4,3,6,0,25,26,12,AI自动标注 - 响应长度: 61字符
ps-003,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,7,8,6,0,25,27,12,AI自动标注 - 响应长度: 409字符
ps-003,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,0,25,28,12,AI自动标注 - 响应长度: 868字符
ps-004,pl_deepseek_flash,batch_20260503,assistant_demo_v1,9,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 847字符
ps-004,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,0,25,28,12,AI自动标注 - 响应长度: 833字符
ps-005,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,0,25,28,12,AI自动标注 - 响应长度: 903字符
ps-006,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,7,9,6,1,25,28,12,AI自动标注 - 响应长度: 537字符
ps-006,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 679字符
ps-007,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 549字符
ps-007,pl_deepseek_pro,batch_20260503,assistant_demo_v1,8,7,9,6,1,25,28,12,AI自动标注 - 响应长度: 527字符
ps-008,pl_deepseek_flash,batch_20260503,assistant_demo_v1,8,7,8,6,0,25,28,12,AI自动标注 - 响应长度: 543字符
ps-008,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,1,25,28,12,AI自动标注 - 响应长度: 1005字符
ps-009,pl_deepseek_flash,batch_20260503,assistant_demo_v1,7,7,8,6,0,25,27,12,AI自动标注 - 响应长度: 391字符
ps-009,pl_deepseek_pro,batch_20260503,assistant_demo_v1,9,7,10,6,0,25,28,12,AI自动标注 - 响应长度: 763字符
ps-010,pl_deepseek_flash,batch_20260503,assistant_demo_v1,9,7,10,6,0,25,28,12,AI自动标注 - 响应长度: 691字符
ceval-002,pl_deepseek_flash,ds_batch,assistant_demo_v1,4,4,3,5,0,5,6,3,AI自动标注 - 响应长度: 50字符
ceval-002,pl_deepseek_pro,ds_batch,assistant_demo_v1,6,6,4,5,0,5,6,3,AI自动标注 - 响应长度: 190字符
ceval-003,pl_deepseek_flash,ds_batch,assistant_demo_v1,1,1,1,3,0,5,6,3,AI自动标注 - 响应长度: 6字符
ceval-003,pl_deepseek_pro,ds_batch,assistant_demo_v1,4,4,4,5,0,5,6,3,AI自动标注 - 响应长度: 92字符
ceval-004,pl_deepseek_flash,ds_batch,assistant_demo_v1,5,5,3,5,0,5,6,3,AI自动标注 - 响应长度: 135字符
ceval-004,pl_deepseek_pro,ds_batch,assistant_demo_v1,6,6,6,5,0,5,6,3,AI自动标注 - 响应长度: 189字符
ceval-005,pl_deepseek_flash,ds_batch,assistant_demo_v1,7,8,9,5,0,5,7,3,AI自动标注 - 响应长度: 314字符
ceval-005,pl_deepseek_pro,ds_batch,assistant_demo_v1,8,9,10,5,0,5,8,3,AI自动标注 - 响应长度: 586字符
ceval-006,pl_deepseek_flash,ds_batch,assistant_demo_v1,5,5,6,5,0,5,6,3,AI自动标注 - 响应长度: 111字符
ceval-006,pl_deepseek_pro,ds_batch,assistant_demo_v1,5,5,4,5,0,5,6,3,AI自动标注 - 响应长度: 141字符
