task_id,policy_id,run_id,annotator_id,quality_score,correctness_score,completeness_score,risk_score,hallucination_flag,human_time_base_min,human_time_ai_min,review_effort_min,notes
code-001,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,3,9,3,1,25,10,5,存在明显错误或无法回答；
code-002,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,8,7,3,0,25,10,5,
code-003,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,6,7,3,0,25,10,5,
code-004,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,4,9,3,0,25,10,5,
code-005,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,8,9,7,3,0,25,10,5,回答质量优秀；
code-006,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,9,9,9,3,0,25,10,5,回答质量优秀；
code-007,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,6,9,3,0,25,10,5,
code-008,pl_glm_47,glm_batch_balance,claude_auto_evaluation,6,5,7,3,0,25,10,5,
code-008,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,5,7,3,0,25,10,5,
code-009,pl_glm_47,glm_batch_balance,claude_auto_evaluation,4,2,6,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
code-009,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,4,7,3,0,25,10,5,回答质量有待提高；
code-010,pl_glm_47,glm_batch_balance,claude_auto_evaluation,7,7,7,3,0,25,10,5,
code-010,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,7,7,3,0,25,10,5,
code-011,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,4,7,3,0,25,10,5,回答质量有待提高；
code-012,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,5,9,3,0,25,10,5,
code-013,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,8,7,3,0,25,10,5,
code-014,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
code-015,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,4,9,3,0,25,10,5,
code-016,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,9,9,9,3,0,25,10,5,回答质量优秀；
code-017,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
code-018,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,3,9,3,1,25,10,5,存在明显错误或无法回答；
edu-001,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,4,1,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-002,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,4,2,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-003,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-004,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-005,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,6,4,9,3,0,25,10,5,
edu-008,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,4,2,7,3,1,25,10,5,出现无法回答情况；存在明显错误或无法回答；回答质量有待提高；
edu-009,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,8,8,9,3,0,25,10,5,回答质量优秀；
edu-010,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,8,7,3,0,25,10,5,
edu-011,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,7,7,7,3,0,25,10,5,
edu-012,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-013,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-014,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,4,2,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-015,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,3,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-016,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,4,2,7,3,1,25,10,5,存在明显错误或无法回答；回答质量有待提高；
edu-017,pl_glm_47_flashx,glm_batch,claude_auto_evaluation,5,4,7,3,0,25,10,5,回答质量有待提高；
