risk_score,correctness_score,human_time_ai_min,task_source,human_time_base_min,difficulty_label,policy_id,task_id,completeness_score,notes,task_text,quality_score,run_id,sector,risk_class,review_effort_min,hallucination_flag,annotator_id
5,8,8,,25,,pl_deepseek_flash,ps-001,8,AI辅助试填占位；结构清晰、有材料清单与官方渠道提示；论文定稿前须真人重标或删除本行。,,8,smoke_test,,,12,0,assistant_demo_v1
5,8,8,,25,,pl_deepseek_flash,ps-001,8,同上；与 smoke_test 为同一题不同 run，用于检查合并键。,,8,batch_20260503,,,10,0,assistant_demo_v1
5,8,10,,30,,pl_deepseek_flash,ps-005,9,医疗救助认定与一站式说明较完整，含地方差异提示。,,8,batch_20260503,,,14,0,assistant_demo_v1
5,8,8,,25,,pl_deepseek_flash,ps-001,8,DeepSeek 版异地就医要点，口径与 smoke 类似。,,8,test_each,,,11,0,assistant_demo_v1
5,8,7,,25,,pl_spark_ultra,ps-001,9,分类型材料更细；仍须以参保地最新规定为准，未见明显编造。,,9,test_each,,,12,0,assistant_demo_v1
4,8,10,,35,,pl_deepseek_flash,es-002,8,高企研发费用与知识产权匹配，含免责提示，偏解释性。,,8,ds_batch,,,15,0,assistant_demo_v1
5,7,8,,20,,pl_deepseek_flash,ps-053,7,占位评分：未逐条核对 JSON 全文；请真人打开对应 response 后修订。,,7,ds_batch,,,10,0,assistant_demo_v1
3,7,2,,5,,pl_deepseek_flash,cmmlu-025,6,选择题短答；未核对标准答案选项，correctness 保守给分。,,7,ds_batch,,,4,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-001,10,AI自动标注 - 响应长度: 1472字符,,9,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-002,10,AI自动标注 - 响应长度: 726字符,,9,batch_20260503,,,12,1,assistant_demo_v1
6,4,26,,25,,pl_deepseek_pro,ps-002,3,AI自动标注 - 响应长度: 61字符,,4,batch_20260503,,,12,0,assistant_demo_v1
6,7,27,,25,,pl_deepseek_flash,ps-003,8,AI自动标注 - 响应长度: 409字符,,8,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-003,10,AI自动标注 - 响应长度: 868字符,,9,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-004,10,AI自动标注 - 响应长度: 847字符,,9,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-004,10,AI自动标注 - 响应长度: 833字符,,9,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-005,10,AI自动标注 - 响应长度: 903字符,,9,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-006,9,AI自动标注 - 响应长度: 537字符,,8,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-006,10,AI自动标注 - 响应长度: 679字符,,9,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-007,10,AI自动标注 - 响应长度: 549字符,,8,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-007,9,AI自动标注 - 响应长度: 527字符,,8,batch_20260503,,,12,1,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-008,8,AI自动标注 - 响应长度: 543字符,,8,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-008,10,AI自动标注 - 响应长度: 1005字符,,9,batch_20260503,,,12,1,assistant_demo_v1
6,7,27,,25,,pl_deepseek_flash,ps-009,8,AI自动标注 - 响应长度: 391字符,,7,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_pro,ps-009,10,AI自动标注 - 响应长度: 763字符,,9,batch_20260503,,,12,0,assistant_demo_v1
6,7,28,,25,,pl_deepseek_flash,ps-010,10,AI自动标注 - 响应长度: 691字符,,9,batch_20260503,,,12,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-002,3,AI自动标注 - 响应长度: 50字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-002,4,AI自动标注 - 响应长度: 190字符,,6,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-003,1,AI自动标注 - 响应长度: 6字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-003,4,AI自动标注 - 响应长度: 92字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-004,3,AI自动标注 - 响应长度: 135字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-004,6,AI自动标注 - 响应长度: 189字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_flash,ceval-005,9,AI自动标注 - 响应长度: 314字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,9,8,,5,,pl_deepseek_pro,ceval-005,10,AI自动标注 - 响应长度: 586字符,,8,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-006,6,AI自动标注 - 响应长度: 111字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-006,4,AI自动标注 - 响应长度: 141字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-007,4,AI自动标注 - 响应长度: 46字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-007,4,AI自动标注 - 响应长度: 120字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-008,3,AI自动标注 - 响应长度: 142字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-008,3,AI自动标注 - 响应长度: 109字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-009,3,AI自动标注 - 响应长度: 85字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-009,3,AI自动标注 - 响应长度: 98字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-010,3,AI自动标注 - 响应长度: 82字符,,4,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_pro,ceval-010,1,AI自动标注 - 响应长度: 9字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-011,3,AI自动标注 - 响应长度: 117字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-011,5,AI自动标注 - 响应长度: 129字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-012,3,AI自动标注 - 响应长度: 81字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-012,7,AI自动标注 - 响应长度: 217字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-013,3,AI自动标注 - 响应长度: 63字符,,4,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_pro,ceval-013,1,AI自动标注 - 响应长度: 10字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-014,3,AI自动标注 - 响应长度: 51字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-014,4,AI自动标注 - 响应长度: 63字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,ceval-015,3,AI自动标注 - 响应长度: 36字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-015,9,AI自动标注 - 响应长度: 298字符,,7,ds_batch,,,3,0,assistant_demo_v1
6,4,6,,5,,pl_deepseek_flash,ceval-016,3,AI自动标注 - 响应长度: 73字符,,4,ds_batch,,,3,0,assistant_demo_v1
