provider,model_id,pricing_tier,input_price_per_1m_usd,cached_input_price_per_1m_usd,output_price_per_1m_usd,batch_discount_note,context_window_tokens,price_collected_date,source_url,notes
DeepSeek,deepseek-v4-flash,standard,0.14,0.0028,0.28,,1000000,2026-05-02,https://api-docs.deepseek.com/quick_start/pricing/,Official
DeepSeek,deepseek-v4-pro,standard,1.74,0.0145,3.48,75pct_discount_until_2026-05-31,1000000,2026-05-02,https://api-docs.deepseek.com/quick_start/pricing/,Official
OpenAI,gpt-5.4-nano,standard,0.2,0.02,1.25,Batch_tier,272000,2026-05-02,https://platform.openai.com/docs/pricing,
OpenAI,gpt-4o-mini,standard,0.15,0.075,0.6,Batch_tier,128000,2026-05-02,https://platform.openai.com/docs/pricing,
OpenAI,gpt-4o,standard,2.5,1.25,10,Batch_tier,128000,2026-05-02,https://platform.openai.com/docs/pricing,
OpenAI,gpt-5.4,standard,2.5,0.25,15,Batch_tier,272000,2026-05-02,https://platform.openai.com/docs/pricing,
OpenAI,o4-mini,standard,1.1,0.275,4.4,Batch_tier,200000,2026-05-02,https://platform.openai.com/docs/pricing,
Anthropic,claude-haiku-4-5,standard,1.0,0.10,5.0,Batch_cache_doc,1000000,2026-05-02,https://platform.claude.com/docs/en/about-claude/pricing,
Anthropic,claude-sonnet-4-6,standard,3.0,0.30,15.0,Batch_cache_doc,1000000,2026-05-02,https://platform.claude.com/docs/en/about-claude/pricing,
Anthropic,claude-opus-4-7,standard,5.0,0.50,25.0,Batch_cache_doc,1000000,2026-05-02,https://platform.claude.com/docs/en/about-claude/pricing,
Google,gemini-2.5-flash-lite,standard,0.10,0.01,0.40,,1000000,2026-05-02,https://ai.google.dev/gemini-api/docs/pricing,
Google,gemini-2.5-flash,standard,0.30,0.03,2.50,,1000000,2026-05-02,https://ai.google.dev/gemini-api/docs/pricing,
Alibaba,qwen-plus,standard,0.11111111,0,0.27777778,,128000,2026-05-02,https://developer.aliyun.com/article/1718400,CNY_fx7.20_verify
Alibaba,qwen-turbo,standard,0.04166667,0,0.08333333,,128000,2026-05-02,https://developer.aliyun.com/article/1718400,CNY_fx7.20_verify
Baidu,ERNIE-4.0-8K,standard,0.55555556,0,2.22222222,,8192,2026-05-02,https://ai.baidu.com/ai-doc/WENXINWORKSHOP/Hm88dcygk,CNY_fx7.20
Baidu,ERNIE-4.0-Turbo-8K,standard,0.41666667,0.16666667,1.25,,8192,2026-05-02,https://ai.baidu.com/ai-doc/WENXINWORKSHOP/Hm88dcygk,CNY_fx7.20
Zhipu,glm-4-air-250414,standard,0.06944444,0,0.06944444,,128000,2026-05-02,https://docs.bigmodel.cn/cn/guide/models/text/glm-4,CNY_fx7.20_verify
Zhipu,glm-4-plus,standard,0.69444444,0,0.69444444,,128000,2026-05-02,https://docs.bigmodel.cn/cn/guide/models/text/glm-4,CNY_fx7.20_verify
GLM,glm-4.7,standard,0.6,0.11,2.2,,200000,2026-05-03,https://docs.z.ai/guides/overview/pricing,Official_USD_per_1M
GLM,glm-4.7-flashx,standard,0.07,0.01,0.4,,200000,2026-05-03,https://docs.z.ai/guides/overview/pricing,Official_USD_per_1M
Kimi,kimi-k2.6,standard,0.95,0.16,4.00,,256000,2026-05-03,https://platform.moonshot.ai/,Official_USD_per_1M
Kimi,kimi-k2.5,standard,0.60,0.10,3.00,,256000,2026-05-03,https://platform.moonshot.ai/,Official_USD_per_1M
Spark,4.0Ultra,standard,7.5,0,7.5,,32000,2026-05-03,https://www.xfyun.cn/doc/spark/HTTP%E8%B0%83%E7%94%A8%E6%96%87%E6%A1%A3.html,CNY_fx7.20_verify_console
Spark,generalv3.5,standard,3.19444444,0,3.19444444,,8192,2026-05-03,https://www.xfyun.cn/doc/spark/HTTP%E8%B0%83%E7%94%A8%E6%96%87%E6%A1%A3.html,CNY_fx7.20_verify_console
Baidu,ernie-4.5-turbo-32k,standard,0.11111111,0.02777778,0.44444444,,32000,2026-05-03,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,CNY_fx7.20
Baidu,ernie-4.5-turbo-128k,standard,0.11111111,0.02777778,0.44444444,,128000,2026-05-03,https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya,CNY_fx7.20
