task_id,task_text,task_source,sector,expected_answer_hint,risk_class,difficulty_label
ps-001,职工基本医疗保险参保人员办理异地就医备案前，应核对哪些关键信息与材料？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/gongbao/2025/issue_12266/202509/content_7039598.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-002,城乡居民医保参保缴费期与待遇享受期衔接，应注意哪些常见误区？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col114/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-003,门诊慢特病资格认定与报销流程，一般包含哪些环节？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col105/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-004,生育保险待遇申领通常需要哪些证明材料与办理渠道？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col104/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-005,医疗救助对象认定与“一站式”结算，政策要点有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col109/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-006,长期护理保险试点地区参保人如何了解本地待遇与评估流程？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/zhengce/zuixin/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-007,医保电子凭证与实体社保卡在就医结算中的关系如何理解？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/hudong/index.htm,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-008,谈判药品“双通道”供药机制对参保患者意味着什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-009,医保基金监管举报投诉渠道与受理范围一般包括哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moe.gov.cn/jyb_xwfb/xw_fbbm/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-010,跨省异地就医直接结算失败时，可按什么顺序自查原因？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mem.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-011,国家组织药品集中带量采购对参保人药费负担的影响应如何客观表述？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mem.gov.cn/yw/zdgz/ajfb/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-012,基本公共卫生服务与基本医疗服务在制度上如何区分？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.samr.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-013,传染病疫情信息报告与个人隐私保护之间如何把握平衡？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.samr.gov.cn/zw/zwfb/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-014,学校传染病防控中家校协同的常见要点有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mnr.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-015,预防接种异常反应补偿与民事赔偿关系应如何向群众解释？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mee.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-016,精神卫生法框架下严重精神障碍患者服务管理要点是什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mee.gov.cn/zcwj/gwywj/202508/t20250827_1126207.shtml,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-017,突发公共卫生事件分级响应启动后，社区可承担哪些配合工作？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mca.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-018,食品安全事故信息通报与舆情回应应注意哪些原则？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mca.gov.cn/n152/n165/c166/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,high,medium
ps-019,饮用水水源保护区管理中的公众参与方式有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mohrss.gov.cn/SYrlzyhshbzk/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-020,噪声污染防治中“敏感建筑物集中区域”监管要点是什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mohrss.gov.cn/SYrlzyhshbzb/jycyz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-021,生活垃圾分类投放、收集、运输的责任边界如何划分？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ndrc.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-022,危险废物经营许可证制度对产废单位意味着什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ndrc.gov.cn/fggz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,high,medium
ps-023,土壤污染风险管控和修复活动中的信息公开要求有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mof.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-024,碳排放权交易与排污许可制度在监管对象上如何区分？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-025,生态保护红线内允许的人类活动类型有哪些概括性限制？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhc.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-026,海域使用论证与海洋环境影响评价在程序上如何衔接？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhc.gov.cn/wjw/bmgz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-027,养老机构备案与消防审验的常见合规要点有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moj.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-028,未成年人社会保护工作中强制报告制度的适用情形有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moj.gov.cn/pub/sfbgw/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-029,最低生活保障家庭经济状况核对应注意哪些隐私与准确性问题？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mps.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-030,临时救助与低保在对象与给付方式上有何主要区别？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mps.gov.cn/n2253534/n2253535/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-031,特困人员供养与分散供养服务协议应关注哪些条款？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ccdi.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-032,残疾人两项补贴资格认定与动态复核要点是什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/gongbao/2025/issue_12266/202509/content_7039598.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-033,婚姻登记“跨省通办”试点中当事人材料准备要点有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col114/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-034,收养登记评估与收养能力评估有何制度性区别？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col105/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-035,慈善组织信息公开与募捐备案应关注哪些合规点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col104/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-036,志愿服务记录与证明出具应遵循哪些基本要求？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col109/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-037,行政区划变更公告后，证照与合同地址条款如何处理更稳妥？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/zhengce/zuixin/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-038,地名管理中对具有重要地理方位意义的名称命名更名程序要点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/hudong/index.htm,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-039,基层群众性自治组织与基层政府在社区治理中的职责边界？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-040,信访事项受理与办理“三个到位”应如何向群众解释？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moe.gov.cn/jyb_xwfb/xw_fbbm/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-041,行政复议与行政诉讼在救济路径选择上如何把握？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mem.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,high,medium
ps-042,政府信息公开申请中“三需要”原则应如何准确理解？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mem.gov.cn/yw/zdgz/ajfb/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-043,重大行政决策公众参与与专家论证如何组织更规范？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.samr.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-044,行政执法公示制度中应重点公开哪些要素？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.samr.gov.cn/zw/zwfb/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-045,行政裁量权基准制定中如何听取市场主体意见？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mnr.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-046,数字政府建设中政务数据共享与数据安全如何统筹？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mee.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-047,一体化政务服务平台“跨省通办”事项清单动态管理要点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mee.gov.cn/zcwj/gwywj/202508/t20250827_1126207.shtml,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-048,电子证照法律效力与纸质证照关系应如何向企业说明？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mca.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-049,政务服务“好差评”结果在绩效考核中如何合理使用？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mca.gov.cn/n152/n165/c166/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-050,公共资源交易平台整合共享对企业投标成本有何影响？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mohrss.gov.cn/SYrlzyhshbzk/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-051,工程建设项目审批制度改革中并联审批的关键点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mohrss.gov.cn/SYrlzyhshbzb/jycyz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-052,企业开办“一窗通”涉及哪些部门数据协同？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ndrc.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-053,不动产登记“带押过户”适用前提与风险提示有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ndrc.gov.cn/fggz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-054,户籍迁移“跨省通办”常见材料与办理时限应如何提示群众？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mof.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-055,居住证积分与公共服务挂钩政策解读应注意哪些边界？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-056,港澳居民在内地（大陆）参加社保的政策要点有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhc.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-057,华侨回国定居登记与身份衔接应注意哪些材料？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhc.gov.cn/wjw/bmgz/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-058,外国人来华工作许可与居留许可衔接办理要点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moj.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-059,领事保护与协助的启动条件与求助渠道有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moj.gov.cn/pub/sfbgw/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-060,国家安全教育进社区活动可设计哪些互动环节？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mps.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-061,反间谍安全防范重点单位名录管理要点是什么？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.mps.gov.cn/n2253534/n2253535/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-062,数据出境安全评估与个人信息出境标准合同路径如何区分？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.ccdi.gov.cn/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-063,关键信息基础设施认定对运营者的额外义务有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/gongbao/2025/issue_12266/202509/content_7039598.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-064,网络安全等级保护测评与商用密码应用安全性评估关系？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col114/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-065,政务云服务商安全责任边界在合同中如何约定更稳妥？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col105/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-066,重大活动网络安全保障工作方案通常包含哪些模块？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col104/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-067,网络谣言治理中平台与监管部门的协同要点？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.nhsa.gov.cn/col/col109/index.html,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-068,未成年人网络保护中监护人指导责任如何落实？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/zhengce/zuixin/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-069,网络直播营销中商品信息披露的底线要求有哪些？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.gov.cn/hudong/index.htm,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
ps-070,算法推荐服务透明化与用户关闭权应如何向用户解释？ 请结合权威公开信息作答，并提示用户以经办机构或主管部门最新规定为准。,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/,public service,以 task_source 栏目及地方政府/经办机构最新办事指南为准；不作个案法律或医疗结论。,medium,medium
es-001,研发费用加计扣除政策享受中，留存备查资料一般应包含哪些类别？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.chinatax.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-002,高新技术企业认定条件中，知识产权与研发费用的匹配性应如何理解？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.chinatax.gov.cn/chinatax/n810219/n810724/c5247328/content.html,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-003,小型微利企业所得税优惠政策与资产总额、从业人数指标如何把握？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.samr.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-004,增值税留抵退税政策适用行业与信用条件应如何向企业说明？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.samr.gov.cn/zw/zwfb/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-005,电子发票全流程应用对企业内控与归档的影响要点？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.ndrc.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-006,出口退税申报中“单证备案”目录与保存期限应如何提示企业？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.ndrc.gov.cn/fggz/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-007,关联交易同期资料准备义务触发条件有哪些概括性表述？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.mof.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-008,转让定价调查中可比公司筛选应注意哪些方法边界？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.mof.gov.cn/zhengwuxinxi/zhengcefabu/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-009,企业合并重组特殊性税务处理的主要适用前提？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.mee.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,high,medium
es-010,资产损失税前扣除申报方式与证据材料要求要点？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.customs.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-011,股权激励企业所得税递延纳税政策适用对象与条件？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.customs.gov.cn/customs/302249/zfxxgk/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-012,跨境服务增值税零税率与免税政策如何选择更稳妥？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.cbirc.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-013,对外支付税务备案与源泉扣缴义务衔接要点？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.cbirc.gov.cn/cn/view/pages/index/index.html,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,high,medium
es-014,税收协定受益所有人判定中的“实质重于形式”如何举例？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.csrc.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-015,一般反避税条款适用中“合理商业目的”应如何把握？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.csrc.gov.cn/pub/newsite/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-016,反垄断经营者集中申报营业额计算口径要点？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.safe.gov.cn/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,high,medium
es-017,纵向垄断协议“安全港”规则适用应注意哪些边界？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.safe.gov.cn/safe/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
es-018,滥用市场支配地位行为认定中相关市场界定方法？ 请提示企业以税务机关、监管机关及合同文本为准，避免替代专业审计或法律意见。,https://www.ndrc.gov.cn/fggz/fzzlgh/,enterprise support,以 task_source 政策发布与当年有效文件为准；涉税涉证事项以主管税务机关解释为准。,medium,medium
