human_time_ai_min,correctness_score,risk_score,review_effort_min,sector,run_id,task_text,annotator_id,hallucination_flag,notes,difficulty_label,completeness_score,risk_class,task_id,quality_score,task_source,policy_id,human_time_base_min
8,8,5,12,,smoke_test,,assistant_demo_v1,0,AI辅助试填占位；结构清晰、有材料清单与官方渠道提示；论文定稿前须真人重标或删除本行。,,8,,ps-001,8,,pl_deepseek_flash,25
8,8,5,10,,batch_20260503,,assistant_demo_v1,0,同上；与 smoke_test 为同一题不同 run，用于检查合并键。,,8,,ps-001,8,,pl_deepseek_flash,25
10,8,5,14,,batch_20260503,,assistant_demo_v1,0,医疗救助认定与一站式说明较完整，含地方差异提示。,,9,,ps-005,8,,pl_deepseek_flash,30
8,8,5,11,,test_each,,assistant_demo_v1,0,DeepSeek 版异地就医要点，口径与 smoke 类似。,,8,,ps-001,8,,pl_deepseek_flash,25
7,8,5,12,,test_each,,assistant_demo_v1,0,分类型材料更细；仍须以参保地最新规定为准，未见明显编造。,,9,,ps-001,9,,pl_spark_ultra,25
10,8,4,15,,ds_batch,,assistant_demo_v1,0,高企研发费用与知识产权匹配，含免责提示，偏解释性。,,8,,es-002,8,,pl_deepseek_flash,35
8,7,5,10,,ds_batch,,assistant_demo_v1,0,占位评分：未逐条核对 JSON 全文；请真人打开对应 response 后修订。,,7,,ps-053,7,,pl_deepseek_flash,20
2,7,3,4,,ds_batch,,assistant_demo_v1,0,选择题短答；未核对标准答案选项，correctness 保守给分。,,6,,cmmlu-025,7,,pl_deepseek_flash,5
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 1472字符,,10,,ps-001,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 726字符,,10,,ps-002,9,,pl_deepseek_flash,25
26,4,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 61字符,,3,,ps-002,4,,pl_deepseek_pro,25
27,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 409字符,,8,,ps-003,8,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 868字符,,10,,ps-003,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 847字符,,10,,ps-004,9,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 833字符,,10,,ps-004,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 903字符,,10,,ps-005,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 537字符,,9,,ps-006,8,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 679字符,,10,,ps-006,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 549字符,,10,,ps-007,8,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 527字符,,9,,ps-007,8,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 543字符,,8,,ps-008,8,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,1,AI自动标注 - 响应长度: 1005字符,,10,,ps-008,9,,pl_deepseek_pro,25
27,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 391字符,,8,,ps-009,7,,pl_deepseek_flash,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 763字符,,10,,ps-009,9,,pl_deepseek_pro,25
28,7,6,12,,batch_20260503,,assistant_demo_v1,0,AI自动标注 - 响应长度: 691字符,,10,,ps-010,9,,pl_deepseek_flash,25
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 50字符,,3,,ceval-002,4,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 190字符,,4,,ceval-002,6,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 6字符,,1,,ceval-003,1,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 92字符,,4,,ceval-003,4,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 135字符,,3,,ceval-004,5,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 189字符,,6,,ceval-004,6,,pl_deepseek_pro,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 314字符,,9,,ceval-005,7,,pl_deepseek_flash,5
8,9,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 586字符,,10,,ceval-005,8,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 111字符,,6,,ceval-006,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 141字符,,4,,ceval-006,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 46字符,,4,,ceval-007,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 120字符,,4,,ceval-007,5,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 142字符,,3,,ceval-008,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 109字符,,3,,ceval-008,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 85字符,,3,,ceval-009,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 98字符,,3,,ceval-009,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 82字符,,3,,ceval-010,4,,pl_deepseek_flash,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 9字符,,1,,ceval-010,1,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 117字符,,3,,ceval-011,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 129字符,,5,,ceval-011,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 81字符,,3,,ceval-012,4,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 217字符,,7,,ceval-012,7,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 63字符,,3,,ceval-013,4,,pl_deepseek_flash,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 10字符,,1,,ceval-013,1,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 51字符,,3,,ceval-014,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 63字符,,4,,ceval-014,4,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 36字符,,3,,ceval-015,3,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 298字符,,9,,ceval-015,7,,pl_deepseek_pro,5
