task_id,policy_id,run_id,annotator_id,quality_score,correctness_score,completeness_score,risk_score,hallucination_flag,human_time_base_min,human_time_ai_min,review_effort_min,notes
ps-001,pl_spark_ultra,test_each,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 918字符
ps-001,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 807字符
ps-001,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,6,0,25,11,12,AI自动标注 - 响应长度: 797字符
ps-002,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,10,6,0,25,17,12,AI自动标注 - 响应长度: 1855字符
ps-002,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,10,6,0,25,19,12,AI自动标注 - 响应长度: 2253字符
ps-003,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 890字符
ps-003,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 808字符
ps-004,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,13,12,AI自动标注 - 响应长度: 1052字符
ps-004,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,6,0,25,10,12,AI自动标注 - 响应长度: 740字符
ps-005,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,14,12,AI自动标注 - 响应长度: 1298字符
ps-005,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,13,12,AI自动标注 - 响应长度: 1166字符
ps-006,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 848字符
ps-006,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,6,0,25,10,12,AI自动标注 - 响应长度: 636字符
ps-007,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 934字符
ps-007,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,6,0,25,9,12,AI自动标注 - 响应长度: 507字符
ps-008,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,7,5,0,25,8,12,AI自动标注 - 响应长度: 405字符
ps-008,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,8,12,AI自动标注 - 响应长度: 431字符
ps-009,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,6,0,25,10,12,AI自动标注 - 响应长度: 656字符
ps-009,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,6,0,25,9,12,AI自动标注 - 响应长度: 580字符
ps-010,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 808字符
ps-010,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 988字符
ps-011,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,9,12,AI自动标注 - 响应长度: 532字符
ps-011,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,9,12,AI自动标注 - 响应长度: 585字符
ps-012,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,6,0,25,12,12,AI自动标注 - 响应长度: 901字符
ps-012,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,14,12,AI自动标注 - 响应长度: 1263字符
ps-013,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1143字符
ps-013,pl_spark_max,spark_batch,claude_auto_evaluation,7,6,7,5,1,25,11,12,AI自动标注 - 响应长度: 781字符
ps-014,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 628字符
ps-014,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 826字符
ps-015,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,6,0,25,9,12,AI自动标注 - 响应长度: 503字符
ps-015,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,14,12,AI自动标注 - 响应长度: 1292字符
ps-016,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 864字符
ps-016,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 865字符
ps-017,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1081字符
ps-017,pl_spark_max,spark_batch,claude_auto_evaluation,8,7,9,5,0,25,14,12,AI自动标注 - 响应长度: 1391字符
ps-018,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,12,12,AI自动标注 - 响应长度: 969字符
ps-018,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,8,6,0,25,11,12,AI自动标注 - 响应长度: 754字符
ps-019,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,9,12,AI自动标注 - 响应长度: 488字符
ps-019,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 695字符
ps-020,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 624字符
ps-020,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,8,12,AI自动标注 - 响应长度: 397字符
ps-021,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 897字符
ps-021,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 975字符
ps-022,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 649字符
ps-022,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,14,12,AI自动标注 - 响应长度: 1236字符
ps-023,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1097字符
ps-023,pl_spark_max,spark_batch,claude_auto_evaluation,7,6,8,5,1,25,9,12,AI自动标注 - 响应长度: 460字符
ps-024,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,7,5,0,25,8,12,AI自动标注 - 响应长度: 385字符
ps-024,pl_spark_max,spark_batch,claude_auto_evaluation,8,7,9,5,0,25,12,12,AI自动标注 - 响应长度: 936字符
ps-025,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 843字符
ps-025,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 929字符
ps-026,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,11,12,AI自动标注 - 响应长度: 786字符
ps-026,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,14,12,AI自动标注 - 响应长度: 1341字符
ps-027,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,10,5,0,25,15,12,AI自动标注 - 响应长度: 1572字符
ps-028,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1036字符
ps-028,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,8,12,AI自动标注 - 响应长度: 441字符
ps-029,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,14,12,AI自动标注 - 响应长度: 1237字符
ps-029,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,8,12,AI自动标注 - 响应长度: 420字符
ps-030,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,8,12,AI自动标注 - 响应长度: 370字符
ps-030,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 709字符
ps-031,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,10,5,0,25,17,12,AI自动标注 - 响应长度: 1862字符
ps-031,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 919字符
ps-032,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1023字符
ps-032,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 934字符
ps-033,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,9,12,AI自动标注 - 响应长度: 533字符
ps-033,pl_spark_max,spark_batch,claude_auto_evaluation,7,6,7,5,0,25,8,12,AI自动标注 - 响应长度: 346字符
ps-034,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,9,12,AI自动标注 - 响应长度: 541字符
ps-034,pl_spark_max,spark_batch,claude_auto_evaluation,7,6,6,5,0,25,9,12,AI自动标注 - 响应长度: 535字符
ps-035,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,15,12,AI自动标注 - 响应长度: 1402字符
ps-035,pl_spark_max,spark_batch,claude_auto_evaluation,8,7,9,5,1,25,14,12,AI自动标注 - 响应长度: 1220字符
ps-036,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,8,12,AI自动标注 - 响应长度: 312字符
ps-036,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,7,5,0,25,8,12,AI自动标注 - 响应长度: 308字符
ps-037,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,10,6,0,25,16,12,AI自动标注 - 响应长度: 1787字符
ps-037,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,6,0,25,14,12,AI自动标注 - 响应长度: 1321字符
ps-038,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 880字符
ps-038,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1082字符
ps-039,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 852字符
ps-039,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,13,12,AI自动标注 - 响应长度: 1172字符
ps-040,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,8,12,AI自动标注 - 响应长度: 434字符
ps-040,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,8,12,AI自动标注 - 响应长度: 327字符
ps-041,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,12,12,AI自动标注 - 响应长度: 885字符
ps-041,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,10,5,0,25,16,12,AI自动标注 - 响应长度: 1676字符
ps-042,pl_spark_ultra,spark_batch,claude_auto_evaluation,7,7,7,5,0,25,8,12,AI自动标注 - 响应长度: 315字符
ps-042,pl_spark_max,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,14,12,AI自动标注 - 响应长度: 1247字符
ps-043,pl_spark_ultra,spark_batch,claude_auto_evaluation,9,9,9,5,0,25,14,12,AI自动标注 - 响应长度: 1334字符
ps-043,pl_spark_max,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,9,12,AI自动标注 - 响应长度: 496字符
ps-044,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,9,5,0,25,10,12,AI自动标注 - 响应长度: 617字符
ps-044,pl_spark_max,spark_batch,claude_auto_evaluation,7,6,8,5,0,25,10,12,AI自动标注 - 响应长度: 710字符
ps-045,pl_spark_ultra,spark_batch,claude_auto_evaluation,8,8,8,5,0,25,13,12,AI自动标注 - 响应长度: 1019字符
