human_time_ai_min,human_time_base_min,run_id,sector,risk_score,notes,correctness_score,task_source,completeness_score,task_text,policy_id,review_effort_min,hallucination_flag,annotator_id,risk_class,quality_score,task_id,difficulty_label
8,25,smoke_test,,5,AI辅助试填占位；结构清晰、有材料清单与官方渠道提示；论文定稿前须真人重标或删除本行。,8,,8,,pl_deepseek_flash,12,0,assistant_demo_v1,,8,ps-001,
8,25,batch_20260503,,5,同上；与 smoke_test 为同一题不同 run，用于检查合并键。,8,,8,,pl_deepseek_flash,10,0,assistant_demo_v1,,8,ps-001,
10,30,batch_20260503,,5,医疗救助认定与一站式说明较完整，含地方差异提示。,8,,9,,pl_deepseek_flash,14,0,assistant_demo_v1,,8,ps-005,
8,25,test_each,,5,DeepSeek 版异地就医要点，口径与 smoke 类似。,8,,8,,pl_deepseek_flash,11,0,assistant_demo_v1,,8,ps-001,
7,25,test_each,,5,分类型材料更细；仍须以参保地最新规定为准，未见明显编造。,8,,9,,pl_spark_ultra,12,0,assistant_demo_v1,,9,ps-001,
10,35,ds_batch,,4,高企研发费用与知识产权匹配，含免责提示，偏解释性。,8,,8,,pl_deepseek_flash,15,0,assistant_demo_v1,,8,es-002,
8,20,ds_batch,,5,占位评分：未逐条核对 JSON 全文；请真人打开对应 response 后修订。,7,,7,,pl_deepseek_flash,10,0,assistant_demo_v1,,7,ps-053,
2,5,ds_batch,,3,选择题短答；未核对标准答案选项，correctness 保守给分。,7,,6,,pl_deepseek_flash,4,0,assistant_demo_v1,,7,cmmlu-025,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 1472字符,7,,10,,pl_deepseek_pro,12,1,assistant_demo_v1,,9,ps-001,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 726字符,7,,10,,pl_deepseek_flash,12,1,assistant_demo_v1,,9,ps-002,
26,25,batch_20260503,,6,AI自动标注 - 响应长度: 61字符,4,,3,,pl_deepseek_pro,12,0,assistant_demo_v1,,4,ps-002,
27,25,batch_20260503,,6,AI自动标注 - 响应长度: 409字符,7,,8,,pl_deepseek_flash,12,0,assistant_demo_v1,,8,ps-003,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 868字符,7,,10,,pl_deepseek_pro,12,0,assistant_demo_v1,,9,ps-003,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 847字符,7,,10,,pl_deepseek_flash,12,1,assistant_demo_v1,,9,ps-004,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 833字符,7,,10,,pl_deepseek_pro,12,0,assistant_demo_v1,,9,ps-004,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 903字符,7,,10,,pl_deepseek_pro,12,0,assistant_demo_v1,,9,ps-005,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 537字符,7,,9,,pl_deepseek_flash,12,1,assistant_demo_v1,,8,ps-006,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 679字符,7,,10,,pl_deepseek_pro,12,1,assistant_demo_v1,,9,ps-006,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 549字符,7,,10,,pl_deepseek_flash,12,1,assistant_demo_v1,,8,ps-007,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 527字符,7,,9,,pl_deepseek_pro,12,1,assistant_demo_v1,,8,ps-007,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 543字符,7,,8,,pl_deepseek_flash,12,0,assistant_demo_v1,,8,ps-008,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 1005字符,7,,10,,pl_deepseek_pro,12,1,assistant_demo_v1,,9,ps-008,
27,25,batch_20260503,,6,AI自动标注 - 响应长度: 391字符,7,,8,,pl_deepseek_flash,12,0,assistant_demo_v1,,7,ps-009,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 763字符,7,,10,,pl_deepseek_pro,12,0,assistant_demo_v1,,9,ps-009,
28,25,batch_20260503,,6,AI自动标注 - 响应长度: 691字符,7,,10,,pl_deepseek_flash,12,0,assistant_demo_v1,,9,ps-010,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 50字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-002,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 190字符,6,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-002,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 6字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-003,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 92字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-003,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 135字符,5,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-004,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 189字符,6,,6,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-004,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 314字符,8,,9,,pl_deepseek_flash,3,0,assistant_demo_v1,,7,ceval-005,
8,5,ds_batch,,5,AI自动标注 - 响应长度: 586字符,9,,10,,pl_deepseek_pro,3,0,assistant_demo_v1,,8,ceval-005,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 111字符,5,,6,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-006,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 141字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-006,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 46字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-007,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 120字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-007,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 142字符,5,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-008,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 109字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-008,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 85字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-009,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 98字符,4,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-009,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 82字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-010,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 9字符,1,,1,,pl_deepseek_pro,3,0,assistant_demo_v1,,1,ceval-010,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 117字符,5,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-011,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 129字符,5,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-011,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 81字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-012,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 217字符,8,,7,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-012,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 63字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-013,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 10字符,1,,1,,pl_deepseek_pro,3,0,assistant_demo_v1,,1,ceval-013,
